"","V1","V2","V3","V4"
"1",0.888818292106183,0.861627906976744,0.874913536076327,0.880255248254726
"2",0.835305108328364,0.88214569668058,0.852548959880975,0.894433820656756
"3",0.884605446233353,0.87016798973868,0.879525219501162,0.911860259494582
"4",0.871524734297715,0.861279378199988,0.888974564596056,0.85893659312264
"5",0.875964879814118,0.879339131865195,0.856713377062214,0.895272311667661
"6",0.876211111796517,0.839570661896243,0.875158020274299,0.862815977985408
"7",0.818330351818724,0.867859272510435,0.869111189853063,0.8717928155779
"8",0.837090041741204,0.87181535426626,0.834323915859602,0.857473320584788
"9",0.857449610330944,0.864432586926572,0.885208089157568,0.854031007751938
"10",0.834151707688195,0.867572430242839,0.853114688928642,0.894231763068972
"11",0.888763802356425,0.847292784734645,0.881922083084874,0.861869520440789
"12",0.841868415821904,0.862355396541443,0.861969501998595,0.886366253367055
"13",0.888660306102167,0.860254792380266,0.877267493265889,0.891021014537454
"14",0.854264187538464,0.853668291078075,0.885582834700718,0.864021069369907
"15",0.881592745666523,0.89453560339687,0.845197773802425,0.895363744782349
